Thread ID: 18456180
Fiber ID: 52550820
Total: 6.179719
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.10      0.018     0.006     0.000     0.012     3000   Hash#each_pair 
  0.10      0.020     0.006     0.000     0.014     1000   Rack::Request#ip 
  0.10      0.007     0.006     0.000     0.001     1000   ActionController::Metal#initialize 
  0.10      0.012     0.006     0.000     0.006     7000   ActiveSupport::TaggedLogging::Formatter#current_tags 
  0.10      0.260     0.006     0.000     0.254     8000   ActiveSupport::Notifications::Instrumenter#start 
  0.10      0.008     0.006     0.000     0.002     1000   Enumerable#sort_by 
  0.10      0.065     0.006     0.000     0.059     8000  *AbstractController::ViewPaths#lookup_context 
  0.10      0.014     0.006     0.000     0.008     3000   ActiveSupport::InheritableOptions#initialize 
  0.10      0.116     0.006     0.000     0.110     6000   ActiveRecord::ConnectionHandling#retrieve_connection 
  0.10      0.011     0.006     0.000     0.005     2000   Array#initialize 
  0.10      0.009     0.006     0.000     0.003     4000   ActionDispatch::Request#request_method 
  0.10      0.117     0.006     0.000     0.111     4000   ActiveSupport::LogSubscriber#start 
  0.09      0.008     0.006     0.000     0.002     5000   Rack::Request#path_info 
  0.09      0.015     0.006     0.000     0.009     1000   ActionDispatch::Response#assign_default_content_type_and_charset! 
  0.09      0.006     0.006     0.000     0.000     6000   Kernel#instance_variable_set 
  0.09      0.040     0.006     0.000     0.035     4000   Rack::Utils::HeaderHash#[] 
  0.09      0.029     0.006     0.000     0.023    10000   ActionController::LogSubscriber#logger 
  0.09      0.013     0.006     0.000     0.008     2000   Arel::Visitors::ToSql#visit_Arel_Attributes_Attribute 
  0.09      0.006     0.006     0.000     0.000    14000   Array#last 
  0.09      0.099     0.005     0.000     0.093     5000   ActionView::PathSet#find_all 
  0.09      0.240     0.005     0.000     0.235     1000   ActionDispatch::Routing::RouteSet::NamedRouteCollection::UrlHelper::OptimizedUrlHelper#call 
  0.09      0.084     0.005     0.000     0.079     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectStatement 
  0.09      0.005     0.005     0.000     0.000     5000   Kernel#instance_variable_defined? 
  0.09      2.242     0.005     0.000     2.237     1000   ActionView::TemplateRenderer#render 
  0.09      0.008     0.005     0.000     0.003     2000   <Module::URI>#decode_www_form_component 
  0.09      0.005     0.005     0.000     0.000    10000   String#upcase 
  0.09      0.042     0.005     0.000     0.036     5000   Time#minus_with_duration 
  0.09      0.005     0.005     0.000     0.000    24000   BasicObject#__id__ 
  0.09      0.005     0.005     0.000     0.000    11000   String#initialize_copy 
  0.09      0.018     0.005     0.000     0.013     1000   ActionController::TemplateAssertions#setup_subscriptions 
  0.09      0.042     0.005     0.000     0.036     4000   <Class::ActiveRecord::LogSubscriber>#reset_runtime 
  0.09      0.005     0.005     0.000     0.000     5000   Rational#/ 
  0.09      0.321     0.005     0.000     0.316    12000   Mutex_m#mu_synchronize 
  0.09      0.079     0.005     0.000     0.074     5000   ActiveSupport::Notifications::Fanout::Subscribers::Timed#finish 
  0.09      0.007     0.005     0.000     0.002     6000   ActiveSupport::Notifications::InstrumentationRegistry#instrumenter_for 
  0.09      2.499     0.005     0.000     2.494     1000   ActiveRecord::Railties::ControllerRuntime#cleanup_view_runtime 
  0.09      0.012     0.005     0.000     0.007     6000   Object#presence 
  0.09      0.005     0.005     0.000     0.000     7000   Rack::Request#initialize 
  0.09      0.240     0.005     0.000     0.234     6000   ActiveSupport::Notifications::Fanout#listening? 
  0.08      0.243     0.005     0.000     0.238     1000   ActionDispatch::Journey::Router#find_routes 
  0.08      0.374     0.005     0.000     0.369     4000   ActiveSupport::LogSubscriber#finish 
  0.08      0.011     0.005     0.000     0.005     5000   Array#reject 
  0.08      0.005     0.005     0.000     0.000    16000   NilClass#nil? 
  0.08      0.008     0.005     0.000     0.003     6000   ActionDispatch::Response#[] 
  0.08      0.075     0.005     0.000     0.070     4000   ActiveSupport::JSON::Encoding::Encoder#escape 
  0.08      0.051     0.005     0.000     0.046     2000   ActionDispatch::Routing::UrlFor#initialize 
  0.08      0.023     0.005     0.000     0.018     3000   Jbuilder#_set_value 
  0.08      0.015     0.005     0.000     0.010     3000   Object#try 
  0.08      0.017     0.005     0.000     0.012     1000   ActionController::RackDelegation#response_body= 
  0.08      0.386     0.005     0.000     0.381     5000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#finish 
  0.08      0.373     0.005     0.000     0.368     1000   ActionView::PartialRenderer#render_partial 
  0.08      0.015     0.005     0.000     0.010     6000  *ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
  0.08      1.543     0.005     0.000     1.538     1000   Jbuilder#_scope 
  0.08      0.040     0.005     0.000     0.035     6000   ActiveRecord::ConnectionAdapters::ConnectionPool#connection 
  0.08      0.268     0.005     0.000     0.263     2000  *ActionView::CompiledTemplates#_app_views_jbuilder__author_json_jbuilder___3301414311912867066_47694280 
  0.08      0.029     0.005     0.000     0.024     1000   <Module::SecureRandom>#uuid 
  0.08      0.005     0.005     0.000     0.000     3000   ActionDispatch::Http::URL#raw_host_with_port 
  0.08      0.045     0.005     0.000     0.040     5000   ActionView::LookupContext::ViewPaths#detail_args_for 
  0.08      0.013     0.005     0.000     0.008     1000   <Module::SecureRandom>#random_bytes 
  0.08      0.043     0.005     0.000     0.038    12000  *<Module::ActiveSupport::Notifications>#instrumenter 
  0.08      0.008     0.005     0.000     0.004     5000   ActiveSupport::HashWithIndifferentAccess#convert_key 
  0.08      0.020     0.005     0.000     0.015     1000   <Class::MultiJson::Adapter>#cache 
  0.08      0.023     0.005     0.000     0.018     2000   ActionView::LookupContext#formats= 
  0.08      0.018     0.005     0.000     0.014     1000   ActiveRecord::QueryMethods#order! 
  0.08      0.030     0.005     0.000     0.025     7000   Kernel#!~ 
  0.08      4.833     0.005     0.000     4.828     1000   Rack::Runtime#call 
  0.08      0.005     0.005     0.000     0.000     4000   String#to_i 
  0.08      0.007     0.005     0.000     0.002     6000   MonitorMixin#mon_check_owner 
  0.08      0.008     0.005     0.000     0.003     4000   ActiveRecord::Inheritance::ClassMethods#base_class 
  0.08      0.093     0.005     0.000     0.088     9000  *Arel::Visitors::Visitor#visit 
  0.08      2.578     0.005     0.000     2.573     1000   ActionController::Rendering#process_action 
  0.08      0.122     0.005     0.000     0.117     5000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#start 
  0.08      0.017     0.005     0.000     0.012     6000   ActionDispatch::Journey::GTG::TransitionTable#move_string 
  0.08      0.007     0.005     0.000     0.003     6000   URI::Generic#set_scheme 
  0.08      0.014     0.005     0.000     0.010     4000   ActiveSupport::HashWithIndifferentAccess#default 
  0.08      0.341     0.005     0.000     0.336     1000   ActiveRecord::ConnectionAdapters::QueryCache#cache_sql 
  0.08      0.005     0.005     0.000     0.000     4000   String#to_sym 
  0.08      0.011     0.005     0.000     0.006     7000   ThreadSafe::NonConcurrentCacheBackend#[]= 
  0.08      0.229     0.005     0.000     0.224    12000  *ActiveSupport::JSON::Encoding::Encoder#check_for_circular_references 
  0.07      0.699     0.005     0.000     0.695     1000   ActionView::PartialRenderer#render 
  0.07      0.006     0.005     0.000     0.001     1000   <Class::ActionDispatch::Cookies::CookieJar>#options_for_env 
  0.07      6.090     0.005     0.000     6.085     1000   JsonTestTest#test_jbuilder_sample3 
