Thread ID: 18456180
Fiber ID: 52550820
Total: 4.166524
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08      0.003     0.003     0.000     0.000     6000   <Module::URI>#scheme_list 
  0.08      0.003     0.003     0.000     0.000     6000   URI::Generic#set_path 
  0.08      0.003     0.003     0.000     0.000     5001   Hash#keys 
  0.08      0.007     0.003     0.000     0.003     1000   ActiveRecord::QueryMethods#build_order 
  0.08      0.008     0.003     0.000     0.005     2000   ActiveRecord::Relation#eager_loading? 
  0.08      0.196     0.003     0.000     0.193     9000   Mutex_m#mu_synchronize 
  0.08      0.023     0.003     0.000     0.020     2000   ActionDispatch::Http::Parameters#normalize_encode_params 
  0.08      0.024     0.003     0.000     0.021     1000   ActionDispatch::Cookies::EncryptedCookieJar#initialize 
  0.08      0.003     0.003     0.000     0.000     1000   <Class::ActionView::Base>#default_formats 
  0.08      0.003     0.003     0.000     0.000    10000   Array#last 
  0.08      0.778     0.003     0.000     0.774     1000   Benchmark#realtime 
  0.08      0.033     0.003     0.000     0.029     2000   ActionDispatch::Request#parse_query 
  0.08      0.008     0.003     0.000     0.005     2000  *<Class::ActionController::Metal>#action 
  0.08      0.021     0.003     0.000     0.018     1000   Rack::Request#GET 
  0.08      0.191     0.003     0.000     0.188     4000   ActionDispatch::Request::Session::Options#[] 
  0.08      2.602     0.003     0.000     2.599     1000   ActionDispatch::Flash#call 
  0.08      0.003     0.003     0.000     0.000     1000   <Class::File>#join 
  0.08      0.008     0.003     0.000     0.005     3000   Rack::Utils::KeySpaceConstrainedParams#to_params_hash 
  0.08      0.003     0.003     0.000     0.000     5000   Mutex#lock 
  0.08      0.003     0.003     0.000     0.000     1000   <Class::Hash>#[] 
  0.08      0.003     0.003     0.000     0.000    12002   Kernel#freeze 
  0.08      0.011     0.003     0.000     0.008     4000  *ActiveSupport::CachingKeyGenerator#generate_key 
  0.08      0.167     0.003     0.000     0.164     4000   <Module::URI>#parse 
  0.08      4.165     0.003     0.000     4.162     2000  *ActiveSupport::Testing::Performance#run_test 
  0.08      0.003     0.003     0.000     0.000     4000   Rack::BodyProxy#initialize 
  0.08      0.008     0.003     0.000     0.005     1000   Rack::Test::Session#default_env 
  0.08      0.007     0.003     0.000     0.003     2000   MonitorMixin#mon_initialize 
  0.08      0.013     0.003     0.000     0.010     1000   ActionController::RackDelegation#response_body= 
  0.08      0.022     0.003     0.000     0.018     5000   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id 
  0.08      0.022     0.003     0.000     0.019    12000  *ActiveRecord::ConnectionHandling#connection_id 
  0.08      0.003     0.003     0.000     0.000     6000   URI::Generic#set_query 
  0.08      0.086     0.003     0.000     0.083     4000   ActiveSupport::Notifications::Fanout::Subscribers::Evented#start 
  0.07      0.011     0.003     0.000     0.007     3000   ActiveSupport::Notifications::Fanout#subscribe 
  0.07      0.063     0.003     0.000     0.060     3000   URI::HTTP#initialize 
  0.07      0.003     0.003     0.000     0.000     3000   Rack::Utils::KeySpaceConstrainedParams#initialize 
  0.07      0.009     0.003     0.000     0.006     1000   <Class::ActionDispatch::Journey::Router::Utils>#normalize_path 
  0.07      0.297     0.003     0.000     0.294     4000   ActiveSupport::Notifications::Fanout#finish 
  0.07      0.043     0.003     0.000     0.039     1000   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectStatement 
  0.07      0.300     0.003     0.000     0.297     4000   ActiveSupport::Notifications::Instrumenter#finish 
  0.07      0.038     0.003     0.000     0.035     1000   ActionView::LookupContext#initialize 
  0.07      0.549     0.003     0.000     0.546     1000   ActiveModel::ArraySerializer#_serializable_array 
  0.07      0.009     0.003     0.000     0.006     1000   Arel::Visitors::ToSql#visit_Arel_Attributes_Attribute 
  0.07      0.012     0.003     0.000     0.009     2000  *Rack::Response#write 
  0.07      0.019     0.003     0.000     0.016    10000  *<Class::ActiveRecord::LogSubscriber>#runtime= 
  0.07      0.011     0.003     0.000     0.008     2000   AbstractController::ViewPaths#_prefixes 
  0.07      0.005     0.003     0.000     0.002     4000   Arel::Visitors::Visitor#dispatch 
  0.07      0.187     0.003     0.000     0.184     4000   ActiveSupport::Notifications::Instrumenter#start 
  0.07      0.016     0.003     0.000     0.013     1000   ActionDispatch::Http::Headers#env_name 
  0.07      0.003     0.003     0.000     0.000     3000   Hash#values_at 
  0.07      0.003     0.003     0.000     0.000     3000   String#strip 
  0.07      2.927     0.003     0.000     2.924     1000   Rails::Rack::Logger#call 
  0.07      0.023     0.003     0.000     0.020    10000  *<Class::ActiveRecord::LogSubscriber>#runtime 
  0.07      0.003     0.003     0.000     0.000     9001   Array#uniq 
  0.07      0.016     0.003     0.000     0.013     1000   <Class::ActionDispatch::Http::ParameterFilter::CompiledFilter>#compile 
  0.07      0.022     0.003     0.000     0.019     1000   ActionDispatch::Response#rack_response 
  0.07      0.003     0.003     0.000     0.000     6000   URI::Generic#set_host 
  0.07      0.188     0.003     0.000     0.185     2000   Hash#fetch 
  0.07      0.035     0.003     0.000     0.032     1000   URI::Generic#== 
  0.07      1.958     0.003     0.000     1.956     1000   AbstractController::Base#process 
  0.07      0.009     0.003     0.000     0.006     4000  *ActiveRecord::Scoping::Default::ClassMethods#build_default_scope 
  0.07      0.003     0.003     0.000     0.000     2000   Array#& 
  0.07      0.008     0.003     0.000     0.005     2000   URI::Parser#unescape 
  0.07      0.037     0.003     0.000     0.034     1000   ActiveRecord::Railties::ControllerRuntime#append_info_to_payload 
  0.07      0.003     0.003     0.000     0.000     4000   <Class::Proc>#new 
  0.07      0.003     0.003     0.000     0.000     7000   SQLite3::Statement#column_decltype 
  0.07      0.005     0.003     0.000     0.002     4000   #<Module:0x000000030473f8>#config 
  0.07      0.004     0.003     0.000     0.001     3000   Rack::Request#script_name 
  0.07      0.010     0.003     0.000     0.007     2000   MonitorMixin#initialize 
  0.07      0.003     0.003     0.000     0.000     1000   ActionDispatch::Journey::Route#initialize 
  0.07      0.127     0.003     0.000     0.125     2000   ActionDispatch::Request#cookie_jar 
  0.07      2.909     0.003     0.000     2.906     1000   ActiveSupport::TaggedLogging::Formatter#tagged 
  0.07      0.003     0.003     0.000     0.000     5000   URI::Generic#split_userinfo 
  0.07      0.003     0.003     0.000     0.000     3000   String#to_sym 
  0.07      0.003     0.003     0.000     0.000    12000   BasicObject#initialize 
  0.07      0.027     0.003     0.000     0.025     2000   ActionDispatch::Http::Upload#normalize_encode_params 
  0.07      0.008     0.003     0.000     0.005     4000   ActiveSupport::Callbacks::ClassMethods#__callback_runner_name 
  0.07      0.027     0.003     0.000     0.024     2000   ActiveSupport::Notifications::Event#duration 
  0.07      0.016     0.003     0.000     0.013     1000   Rack::Session::Abstract::ID#commit_session 
  0.07      0.005     0.003     0.000     0.003     4001   Array#reject 
  0.07      0.003     0.003     0.000     0.000    11000   Kernel#hash 
  0.07      0.003     0.003     0.000     0.001     2000   StringIO#initialize 
  0.07      0.010     0.003     0.000     0.007     3000   ActiveSupport::TaggedLogging::Formatter#tags_text 
  0.07      0.003     0.003     0.000     0.000     3000   URI::Generic#parser 
  0.07      0.017     0.003     0.000     0.014     1000   <Class::ActionDispatch::Request::Session>#create 
  0.06      2.705     0.003     0.000     2.703     1000   ActionDispatch::Callbacks#_run__4274170026183072122__call__callbacks 
  0.06      0.761     0.003     0.000     0.758     1000   ActionController::Rendering#render 
  0.06      0.058     0.003     0.000     0.055     2000   ActiveRecord::ConnectionAdapters::DatabaseStatements#to_sql 
  0.06      0.021     0.003     0.000     0.019     1000   Arel::SelectManager#initialize 
  0.06      0.689     0.003     0.000     0.686     2000  *ActionController::Serialization#_render_option_json 
  0.06      0.032     0.003     0.000     0.030     1000   ActiveRecord::LogSubscriber#sql 
  0.06      0.004     0.003     0.000     0.002     3000   ActiveSupport::HashWithIndifferentAccess#convert_value 
  0.06      0.003     0.003     0.000     0.000     5000   URI::Generic#set_registry 
  0.06      0.008     0.003     0.000     0.005     2000   ActionDispatch::Http::Cache::Response#cache_control_segments 
  0.06      0.050     0.003     0.000     0.048     3000   Logger::LogDevice#write 
  0.06      0.031     0.003     0.000     0.029     2000   ActionDispatch::Http::Cache::Response#cache_control_headers 
